25 20
 ############
#.BB........#    ########
#...s...s...######bbb...#
#..bb..u.......p.......u#
#..bb.......######......#
#.....s.....#    #.u.bbb#
#.........B.#    #...g..#
#......B..p.#    #B.....#
#####..######    ###..###
    #..#           #..#
    #.b#           #..#
    #..#          ##..##
  ###..####      #....BB#
  #..@..b.#      #......#
  #.......#      #...bbb#
  #b...w..#      #.g....#
  #..u....#      #BBB...#
  #k.....k#      #......#
  #d.....y#      #..l...#
  #########       ######
